"Region","PrimaryKey","Line","PointNbr","layer","code","LineKey","PointLoc"
"SH","201A",15,24,"FOLIAR_3","L","201A",24
"SH","201A",15,24,"SOIL_SURF","S","201A",24
"SH","201A",15,24.5,"FOLIAR_1","AGROP","201A",24.5
"SH","201A",15,24.5,"FOLIAR_2","ACTH7","201A",24.5
"SH","201A",15,24.5,"FOLIAR_3","L","201A",24.5
"SH","201A",15,24.5,"SOIL_SURF","S","201A",24.5
"SH","201A",15,25,"FOLIAR_1","N","201A",25
"SH","201A",15,25,"FOLIAR_2","L","201A",25
"SH","201A",15,25,"SOIL_SURF","S","201A",25
"SH","201A",15,25.5,"FOLIAR_1","N","201A",25.5
"SH","201A",15,25.5,"FOLIAR_2","L","201A",25.5
"SH","201A",15,25.5,"SOIL_SURF","S","201A",25.5
"SH","201A",15,26,"FOLIAR_1","AGROP","201A",26
"SH","201A",15,26,"FOLIAR_2","L","201A",26
"SH","201A",15,26,"SOIL_SURF","S","201A",26
"SH","201A",15,26.5,"FOLIAR_1","AGROP","201A",26.5
"SH","201A",15,26.5,"FOLIAR_2","L","201A",26.5
"SH","201A",15,26.5,"SOIL_SURF","S","201A",26.5
"SH","201A",15,27,"FOLIAR_1","AGROP","201A",27
"SH","201A",15,27,"FOLIAR_2","ACTH7","201A",27
"SH","201A",15,27,"FOLIAR_3","BRTE","201A",27
"SH","201A",15,27,"FOLIAR_4","L","201A",27
"SH","201A",15,27,"SOIL_SURF","S","201A",27
"SH","201A",15,27.5,"FOLIAR_1","AGROP","201A",27.5
"SH","201A",15,27.5,"FOLIAR_2","BRTE","201A",27.5
"SH","201A",15,27.5,"FOLIAR_3","L","201A",27.5
"SH","201A",15,27.5,"SOIL_SURF","S","201A",27.5
"SH","201A",15,28,"FOLIAR_1","AGROP","201A",28
"SH","201A",15,28,"FOLIAR_2","ACTH7","201A",28
"SH","201A",15,28,"FOLIAR_3","BRTE","201A",28
"SH","201A",15,28,"FOLIAR_4","L","201A",28
"SH","201A",15,28,"SOIL_SURF","S","201A",28
"SH","201A",15,28.5,"FOLIAR_1","AGROP","201A",28.5
"SH","201A",15,28.5,"FOLIAR_2","L","201A",28.5
"SH","201A",15,28.5,"SOIL_SURF","S","201A",28.5
"SH","201A",15,29,"FOLIAR_1","AGROP","201A",29
"SH","201A",15,29,"SOIL_SURF","AGROP","201A",29
"SH","201A",15,29.5,"FOLIAR_1","AGROP","201A",29.5
"SH","201A",15,29.5,"FOLIAR_2","POSE","201A",29.5
"SH","201A",15,29.5,"FOLIAR_3","L","201A",29.5
"SH","201A",15,29.5,"SOIL_SURF","S","201A",29.5
"SH","201A",28,0,"FOLIAR_1","POSE","201A",0
"SH","201A",28,0,"FOLIAR_2","L","201A",0
"SH","201A",28,0,"SOIL_SURF","S","201A",0
"SH","201A",28,0.5,"FOLIAR_1","ACTH7","201A",0.5
"SH","201A",28,0.5,"FOLIAR_2","AGROP","201A",0.5
"SH","201A",28,0.5,"FOLIAR_3","L","201A",0.5
"SH","201A",28,0.5,"SOIL_SURF","S","201A",0.5
"SH","201A",28,1,"FOLIAR_1","N","201A",1
"SH","201A",28,1,"FOLIAR_2","L","201A",1
