Region,PrimaryKey,Line,PointNbr,FOLIAR_1,FOLIAR_2,FOLIAR_3,FOLIAR_4,FOLIAR_5,SOIL_SURF
SH,202A,15,6.5,ACTH7,POSE,L,NA,NA,S
SH,202A,15,7,AGROP,NA,NA,NA,NA,S
SH,202A,15,7.5,AGROP,L,NA,NA,NA,S
SH,202A,15,8,AGROP,L,NA,NA,NA,S
SH,202A,15,8.5,AGROP,L,NA,NA,NA,S
SH,202A,15,9,N,L,NA,NA,NA,S
SH,202A,15,9.5,AGROP,NA,NA,NA,NA,S
SH,202A,15,10,N,L,NA,NA,NA,S
SH,202A,15,10.5,AGROP,NA,NA,NA,NA,S
SH,202A,15,11,POSE,NA,NA,NA,NA,S
SH,202A,15,11.5,AGROP,NA,NA,NA,NA,AGROP
SH,202A,15,12,AGROP,W,NA,NA,NA,S
SH,202A,15,12.5,N,L,NA,NA,NA,S
SH,202A,15,13,BRTE,L,NA,NA,NA,S
SH,202A,15,13.5,N,NA,NA,NA,NA,S
SH,202A,15,14,N,NA,NA,NA,NA,S
SH,202A,15,14.5,AGROP,POSE,L,NA,NA,S
SH,202A,15,15,AGROP,L,NA,NA,NA,S
SH,202A,15,15.5,ACTH7,POSE,L,NA,NA,S
SH,202A,15,16,N,NA,NA,NA,NA,S
SH,202A,15,16.5,N,NA,NA,NA,NA,S
SH,202A,15,17,N,L,NA,NA,NA,S
SH,202A,15,17.5,AGROP,L,NA,NA,NA,S
SH,202A,15,18,N,NA,NA,NA,NA,S
SH,202A,15,18.5,AGROP,POSE,L,NA,NA,S
SH,202A,15,19,AGROP,L,NA,NA,NA,S
SH,202A,15,19.5,AGROP,L,NA,NA,NA,S
SH,202A,15,20,AGROP,POSE,L,NA,NA,S
SH,202A,15,20.5,AGROP,POSE,L,NA,NA,S
SH,202A,15,21,AGROP,ACTH7,L,NA,NA,S
SH,202A,15,21.5,AGROP,L,NA,NA,NA,S
SH,202A,15,22,N,NA,NA,NA,NA,S
SH,202A,15,22.5,AGROP,POSE,L,NA,NA,S
SH,202A,15,23,N,NA,NA,NA,NA,S
SH,202A,15,23.5,N,NA,NA,NA,NA,S
SH,202A,15,24,N,L,NA,NA,NA,S
SH,202A,15,24.5,ACTH7,NA,NA,NA,NA,ACTH7
SH,202A,15,25,AGROP,NA,NA,NA,NA,S
SH,202A,15,25.5,AGROP,L,NA,NA,NA,S
SH,202A,15,26,AGROP,NA,NA,NA,NA,AGROP
SH,202A,15,26.5,AGROP,L,NA,NA,NA,S
SH,202A,15,27,N,NA,NA,NA,NA,S
SH,202A,15,27.5,AGROP,L,NA,NA,NA,S
